timestamp,axis1,axis2,axis3,sadeh,cole-kripke
2012-06-27T15:54:00Z,65,88,81,W,S
2012-06-27T15:55:00Z,47,64,86,W,S
2012-06-27T15:56:00Z,301,541,642,W,W
2012-06-27T15:57:00Z,387,825,444,W,W
2012-06-27T15:58:00Z,702,1151,1101,W,W
2012-06-27T15:59:00Z,3367,2185,3039,W,W
2012-06-27T16:00:00Z,34,149,111,W,W
2012-06-27T16:01:00Z,0,0,14,W,W
2012-06-27T16:02:00Z,92,201,184,W,W
2012-06-27T16:03:00Z,3932,2511,3834,W,W
2012-06-27T16:04:00Z,295,305,396,W,W
2012-06-27T16:05:00Z,0,0,0,W,W
2012-06-27T16:06:00Z,0,42,44,W,W
2012-06-27T16:07:00Z,1278,951,923,W,W
2012-06-27T16:08:00Z,392,267,406,W,W
2012-06-27T16:09:00Z,2120,767,1572,W,W
2012-06-27T16:10:00Z,2301,1844,2128,W,W
2012-06-27T16:11:00Z,16,17,12,W,W
2012-06-27T16:12:00Z,43,53,85,W,W
2012-06-27T16:13:00Z,15,14,12,W,W
2012-06-27T16:14:00Z,0,0,0,W,W
2012-06-27T16:15:00Z,0,0,11,S,S
2012-06-27T16:16:00Z,32,37,69,S,S
2012-06-27T16:17:00Z,44,22,56,S,S
2012-06-27T16:18:00Z,3,80,23,S,S
2012-06-27T16:19:00Z,0,0,0,S,S
2012-06-27T16:20:00Z,2,14,0,S,S
2012-06-27T16:21:00Z,0,4,0,S,S
2012-06-27T16:22:00Z,21,29,21,S,S
2012-06-27T16:23:00Z,108,58,58,S,S
2012-06-27T16:24:00Z,0,0,0,S,S
2012-06-27T16:25:00Z,7,0,0,S,S
2012-06-27T16:26:00Z,0,0,0,S,S
2012-06-27T16:27:00Z,0,0,3,S,S
2012-06-27T16:28:00Z,0,0,0,S,S
2012-06-27T16:29:00Z,0,0,5,S,S
2012-06-27T16:30:00Z,0,2,6,S,S
2012-06-27T16:31:00Z,7,0,50,S,S
2012-06-27T16:32:00Z,0,0,0,S,S
2012-06-27T16:33:00Z,0,0,0,S,S
2012-06-27T16:34:00Z,0,0,0,S,S
2012-06-27T16:35:00Z,0,0,0,S,S
2012-06-27T16:36:00Z,0,8,37,S,S
